년도,자치구,점포수,연도별_평균_상권_매출금액,연도별_주중_평균_상권_매출금액,연도별_주말_평균_상권_매출금액,연도별_월요일_평균_상권_매출금액,연도별_화요일_평균_상권_매출금액,연도별_수요일_평균_상권_매출금액,연도별_목요일_평균_상권_매출금액,연도별_금요일_평균_상권_매출금액,연도별_토요일_평균_상권_매출금액,연도별_일요일_평균_상권_매출금액,연도별_00_06_시간대_평균_상권_매출금액,연도별_06_11_시간대_평균_상권_매출금액,연도별_11_14_시간대_평균_상권_매출금액,연도별_14_17_시간대_평균_상권_매출금액,연도별_17_21_시간대_평균_상권_매출금액,연도별_21_24_시간대_평균_상권_매출금액,연도별_남성_평균_상권_매출금액,연도별_여성_평균_상권_매출금액,연도별_10대_평균_상권_매출금액,연도별_20대_평균_상권_매출금액,연도별_30대_평균_상권_매출금액,연도별_40대_평균_상권_매출금액,연도별_50대_평균_상권_매출금액,연도별_60대이상_평균_상권_매출금액
2019,강남구,92333,131659888.63315201,132597156.82116288,119849158.83356026,109213616.34585439,127787906.0713255,115922253.8842956,117258763.09326628,111655584.46185455,121726096.40733142,106777781.48647772,127125756.80294016,64877664.91462474,73682731.08270523,92724997.1314883,131433309.02779521,168027658.95691702,118543016.36441635,96492706.46282345,38504033.29555772,70363824.23749493,92609650.31076518,117634967.66525154,118960069.78538948,115512931.78440544
2019,강동구,38588,68604978.43092167,67705409.45811725,53840704.61290666,53048430.26393269,63610062.922272146,54900808.06868751,53335194.87448448,53169231.99074455,54343230.0581233,45639518.3531653,36505439.95983333,50033112.182763815,49510012.93021356,50526316.78811893,50259582.29113103,52924631.00289874,59236330.867973045,55128643.166099206,22097896.41824597,39565712.967766464,44982211.727371626,55240694.56180099,50199576.844194815,62525177.28135997
2019,강북구,26718,47929787.47858826,47596006.69780782,45043213.95138148,43152436.09523899,43650324.766478896,46290359.54783658,42179182.319552235,45372272.97745932,44421782.22489333,41369974.36239163,0.0,44332890.599983834,38947179.21012638,45363796.169124134,52289630.66096643,41732703.30584824,49354627.74782532,42429049.00495399,17434997.97869722,32720872.504167594,38924223.87965085,42600295.08749667,43830344.822338894,44697890.46861897
2019,강서구,39656,56355110.80231032,56609161.45492788,52789666.72177672,52610453.75982855,55469456.76534029,55225376.25915488,56385040.36083546,55166860.78971033,52728034.82808647,47950413.25379641,42063719.67377804,40211571.30414414,43042198.51927548,48389245.5476483,53478938.19966473,59677667.47429804,51747499.670831606,51509999.7517436,23827084.63719794,39560377.00801603,48529015.55698679,51415893.723284066,52770882.22514693,55181449.81109099
2019,관악구,38614,52643253.334477,52124065.975251235,50411020.87498924,48036212.01680006,51570946.301651314,49217938.642244436,49452488.016399324,53766968.593054265,49369130.00482858,48390487.82674273,36284515.14086979,33765829.623950236,44330562.40622177,46032087.951726735,48581320.488965,48591839.34748479,49213245.91179757,50210482.87211015,23410119.64747626,36541896.7316129,46836459.83173854,50696566.340351164,52516841.50928279,54925933.577612534
2019,광진구,37268,52870229.27465037,52048136.35613004,51818710.67856798,45740203.5665447,51998058.30169325,52224868.46698024,49959940.65450668,50587306.03313439,53225367.029395774,46308420.52279275,37994875.0053781,33291509.045366645,37721788.88308465,46578362.946232274,52085421.36534427,57326025.26081157,49251405.925593145,51739153.741436355,22137109.61949359,38462921.46388657,48173245.13780815,53061124.5977198,54884159.283146225,50930220.44765912
2019,구로구,39057,52535898.48011026,52199866.2179752,50552271.78105557,48782721.90126031,49203896.5377968,50020783.712796845,53050576.09515979,51052254.6089966,50207111.26969106,47612245.61979277,42663787.04194871,37601861.4100347,42548395.382933415,50697852.41806976,50142332.86223002,52377199.00350039,51367013.61711882,49596424.95522712,0.0,34760728.28491318,43857432.609236695,48039979.90478694,51283769.42556127,0.0
2019,금천구,32304,48444782.102266185,48593545.021557756,37985450.74510688,42414434.96570891,46359784.97138025,42195862.044483356,38059951.3452965,44793208.10194523,37971528.524042204,34435085.78307149,28967063.40958231,0.0,34077764.60260974,40119478.43556143,39020093.09958473,41113608.21131427,45850473.59155869,37131797.529078804,15117225.313924938,26485189.273254003,37989285.50791606,45047755.78509863,43381325.43195925,39622965.17734159
2019,노원구,28069,41278373.423475675,40759833.292155854,33911371.829876006,34292015.570731044,35212992.99923708,34593306.348289296,35324005.93004718,35164240.11658474,34364307.365550816,30010734.879421644,25349422.89419283,22748738.105429005,35509846.754255675,32340307.75896551,33639082.44055569,32525252.283517968,39408036.75582409,38215548.72419213,15356178.869158452,36677892.12612095,30073083.437472995,34919102.24638346,38836031.12603357,33252068.090988174
2019,도봉구,21892,38740266.736386664,39392909.26560858,34602487.93041197,34713875.938612156,38211922.045018815,33074567.942682825,36213826.46031896,36940271.9443997,35029244.80697936,31300074.94619879,24511000.561791576,28073105.500276536,32475899.636575773,35148488.28703192,35353831.06500063,35348348.56465602,36003831.33879822,36645796.98622436,15980784.943284715,25280657.895378925,35947745.92521952,35587245.00820641,34286446.64251931,38603942.08779467
2019,동대문구,39342,65930612.77059367,65157851.786173366,58427622.172696024,58157611.62304087,60054027.958631575,61464373.7739703,59777527.85658078,62216998.64274527,59022405.755956076,49263224.72678536,48342656.359590486,52152810.59489159,50669612.26902108,58928484.803137675,59380926.4135476,54526733.69018691,59958121.84683758,59120732.35650613,21213037.50660807,43243361.35312119,51647544.41655697,59010573.94695017,57509829.57125359,61205187.32327846
2019,동작구,35221,47667733.59153568,47223413.35088696,44697382.314854726,42491939.56681716,42287285.89602528,43342607.24564961,44877903.87272596,44724164.09377385,43535268.46239779,43690441.192597374,36121130.84750553,28192415.881146796,37901259.8201137,43442035.10342768,49532298.43551079,46163161.842193656,47978177.36913227,39697415.608328715,0.0,31555785.849977136,39413674.10890271,42411093.124382846,42810047.508802816,45911752.774952404
2019,마포구,66136,71375275.43544352,69990363.98480074,74159906.4282619,66957012.393311754,68419945.59421083,67045817.825368546,68988156.51208852,70751721.98993625,74569140.62080546,64016209.109016664,63474586.99670624,47643522.372895755,50602613.54282643,54004105.93662339,71159386.65636607,83579611.37105611,68557935.76063132,62577467.09138135,28553087.01600181,53622493.97956152,63531088.2004355,68273229.18917035,67688802.30854456,67079512.59967945
2019,서대문구,31274,54397397.09213735,54046540.80154415,47837242.273382895,43904095.46474375,44391616.46028836,54139013.10879951,46602965.31560897,45609364.059648536,46969753.590408266,41621021.06496852,34572716.6574344,36330150.58712261,36036309.15365777,46146048.79353436,47522289.03575624,51844886.955512635,52181632.085064344,44696620.39858128,18296407.24824026,30216493.165851522,39484906.707748145,46941886.88541769,54051637.85478574,45651808.5226829
